"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"2032","32","text","0","2033","0.0-0.0","720",""
"4094","32","text","1","7131","0.0-1.0","720",""
"1446","32","text","2","9578","0.0-2.0","720",""
"43723","","survey-likert","3","54452","0.0-3.0","720","{""Q0"":""6"",""Q1"":""6"",""Q2"":""4"",""Q3"":""3"",""Q4"":""5"",""Q5"":""5"",""Q6"":""6"",""Q7"":""5"",""Q8"":""0"",""Q9"":""4""}"
"47311","","survey-likert","4","102779","0.0-4.0","720","{""Q0"":""1"",""Q1"":""5"",""Q2"":""1"",""Q3"":""1"",""Q4"":""6"",""Q5"":""6"",""Q6"":""5"",""Q7"":""6"",""Q8"":""5"",""Q9"":""5""}"
"43126","","survey-likert","5","146924","0.0-5.0","720","{""Q0"":""0"",""Q1"":""5"",""Q2"":""1"",""Q3"":""6"",""Q4"":""5"",""Q5"":""4"",""Q6"":""6"",""Q7"":""5"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5""}"
"53064","","survey-likert","6","201000","0.0-6.0","720","{""Q0"":""5"",""Q1"":""5"",""Q2"":""6"",""Q3"":""5"",""Q4"":""5"",""Q5"":""6"",""Q6"":""3""}"
"7510","","survey-text","7","209521","0.0-7.0","720","{""Q0"":""Percussion""}"
"4184","32","text","8","214706","0.0-8.0","720",""
"31631","","survey-likert","9","247358","0.0-9.0","720","{""Q0"":""6"",""Q1"":""6"",""Q2"":""2"",""Q3"":""5"",""Q4"":""4"",""Q5"":""4"",""Q6"":""5"",""Q7"":""1"",""Q8"":""6"",""Q9"":""6"",""Q10"":""6"",""Q11"":""2"",""Q12"":""1"",""Q13"":""5""}"
"21996","","survey-likert","10","270364","0.0-10.0","720","{""Q0"":""3"",""Q1"":""7"",""Q2"":""5""}"
"50724","","survey-likert","11","322103","0.0-11.0","720","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""1"",""Q4"":""1"",""Q5"":""0"",""Q6"":""1"",""Q7"":""1"",""Q8"":""0""}"
"13369","","survey-text","12","336490","0.0-12.0","720","{""Q0"":""18"",""Q1"":""MALE""}"
"3493","","survey-likert","13","340987","0.0-13.0","720","{""Q0"":""1""}"
"2491","","survey-text","14","344482","0.0-14.0","720","{""Q0"":""""}"
"24711","32","text","15","370194","0.0-15.0","720",""
