"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"2137","32","text","0","2137","0.0-0.0","528",""
"83086","66","text","1","86223","0.0-1.0","528",""
"5832","32","text","2","93055","0.0-2.0","528",""
"60258","","survey-likert","3","154322","0.0-3.0","528","{""Q0"":""6"",""Q1"":""5"",""Q2"":""3"",""Q3"":""5"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6"",""Q7"":""5"",""Q8"":""1"",""Q9"":""5""}"
"56568","","survey-likert","4","211896","0.0-4.0","528","{""Q0"":""2"",""Q1"":""4"",""Q2"":""2"",""Q3"":""0"",""Q4"":""5"",""Q5"":""5"",""Q6"":""4"",""Q7"":""5"",""Q8"":""4"",""Q9"":""5""}"
"64185","","survey-likert","5","277089","0.0-5.0","528","{""Q0"":""4"",""Q1"":""5"",""Q2"":""0"",""Q3"":""6"",""Q4"":""2"",""Q5"":""5"",""Q6"":""1"",""Q7"":""5"",""Q8"":""2"",""Q9"":""2"",""Q10"":""5""}"
"92953","","survey-likert","6","371047","0.0-6.0","528","{""Q0"":""3"",""Q1"":""5"",""Q2"":""3"",""Q3"":""1"",""Q4"":""6"",""Q5"":""2"",""Q6"":""2""}"
"8261","","survey-text","7","380312","0.0-7.0","528","{""Q0"":""Voice""}"
"6079","32","text","8","387392","0.0-8.0","528",""
"31777","","survey-likert","9","420178","0.0-9.0","528","{""Q0"":""6"",""Q1"":""5"",""Q2"":""2"",""Q3"":""6"",""Q4"":""4"",""Q5"":""6"",""Q6"":""4"",""Q7"":""4"",""Q8"":""5"",""Q9"":""4"",""Q10"":""4"",""Q11"":""4"",""Q12"":""4"",""Q13"":""3""}"
"29256","","survey-likert","10","450439","0.0-10.0","528","{""Q0"":""4"",""Q1"":""1"",""Q2"":""4""}"
"56538","","survey-likert","11","507984","0.0-11.0","528","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""2"",""Q7"":""0"",""Q8"":""1""}"
"10772","","survey-text","12","519757","0.0-12.0","528","{""Q0"":""20"",""Q1"":""MALE""}"
"4086","","survey-likert","13","524845","0.0-13.0","528","{""Q0"":""1""}"
"2103","","survey-text","14","527949","0.0-14.0","528","{""Q0"":""""}"
"2138","32","text","15","531087","0.0-15.0","528",""
