"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"2099","32","text","0","2099","0.0-0.0","900",""
"2839","32","text","1","5951","0.0-1.0","900",""
"1482","32","text","2","8447","0.0-2.0","900",""
"32420","","survey-likert","3","41885","0.0-3.0","900","{""Q0"":""4"",""Q1"":""6"",""Q2"":""2"",""Q3"":""5"",""Q4"":""6"",""Q5"":""5"",""Q6"":""4"",""Q7"":""4"",""Q8"":""1"",""Q9"":""5""}"
"39484","","survey-likert","4","82385","0.0-4.0","900","{""Q0"":""1"",""Q1"":""5"",""Q2"":""1"",""Q3"":""1"",""Q4"":""4"",""Q5"":""5"",""Q6"":""5"",""Q7"":""4"",""Q8"":""4"",""Q9"":""5""}"
"44550","","survey-likert","5","127953","0.0-5.0","900","{""Q0"":""2"",""Q1"":""5"",""Q2"":""1"",""Q3"":""5"",""Q4"":""4"",""Q5"":""4"",""Q6"":""4"",""Q7"":""5"",""Q8"":""5"",""Q9"":""4"",""Q10"":""6""}"
"35640","","survey-likert","6","164606","0.0-6.0","900","{""Q0"":""2"",""Q1"":""2"",""Q2"":""4"",""Q3"":""2"",""Q4"":""4"",""Q5"":""0"",""Q6"":""2""}"
"5599","","survey-text","7","171217","0.0-7.0","900","{""Q0"":""voice""}"
"6054","32","text","8","178272","0.0-8.0","900",""
"32606","","survey-likert","9","211900","0.0-9.0","900","{""Q0"":""4"",""Q1"":""4"",""Q2"":""5"",""Q3"":""5"",""Q4"":""6"",""Q5"":""5"",""Q6"":""6"",""Q7"":""4"",""Q8"":""5"",""Q9"":""5"",""Q10"":""6"",""Q11"":""6"",""Q12"":""2"",""Q13"":""6""}"
"8765","","survey-likert","10","221676","0.0-10.0","900","{""Q0"":""5"",""Q1"":""5"",""Q2"":""5""}"
"19205","","survey-likert","11","241895","0.0-11.0","900","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""1"",""Q7"":""1"",""Q8"":""1""}"
"11638","","survey-text","12","254538","0.0-12.0","900","{""Q0"":""19"",""Q1"":""MALE""}"
"3316","","survey-likert","13","258858","0.0-13.0","900","{""Q0"":""1""}"
"6460","","survey-text","14","266321","0.0-14.0","900","{""Q0"":""N/A""}"
"46","20","text","15","267368","0.0-15.0","900",""
