"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"5913","32","text","0","5933","0.0-0.0","530",""
"18147","32","text","1","25084","0.0-1.0","530",""
"17965","32","text","2","44050","0.0-2.0","530",""
"78009","","survey-likert","3","123080","0.0-3.0","530","{""Q0"":""5"",""Q1"":""6"",""Q2"":""1"",""Q3"":""4"",""Q4"":""4"",""Q5"":""6"",""Q6"":""6"",""Q7"":""3"",""Q8"":""1"",""Q9"":""5""}"
"79424","","survey-likert","4","203520","0.0-4.0","530","{""Q0"":""1"",""Q1"":""5"",""Q2"":""1"",""Q3"":""0"",""Q4"":""5"",""Q5"":""5"",""Q6"":""5"",""Q7"":""6"",""Q8"":""4"",""Q9"":""4""}"
"84865","","survey-likert","5","289401","0.0-5.0","530","{""Q0"":""2"",""Q1"":""5"",""Q2"":""0"",""Q3"":""4"",""Q4"":""5"",""Q5"":""5"",""Q6"":""1"",""Q7"":""2"",""Q8"":""4"",""Q9"":""1"",""Q10"":""4""}"
"88096","","survey-likert","6","378509","0.0-6.0","530","{""Q0"":""5"",""Q1"":""4"",""Q2"":""2"",""Q3"":""0"",""Q4"":""5"",""Q5"":""6"",""Q6"":""1""}"
"12930","","survey-text","7","392449","0.0-7.0","530","{""Q0"":""PERCUSSION""}"
"6597","32","text","8","400047","0.0-8.0","530",""
"57483","","survey-likert","9","458550","0.0-9.0","530","{""Q0"":""6"",""Q1"":""3"",""Q2"":""3"",""Q3"":""3"",""Q4"":""3"",""Q5"":""3"",""Q6"":""4"",""Q7"":""3"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5"",""Q11"":""5"",""Q12"":""2"",""Q13"":""4""}"
"49054","","survey-likert","10","508613","0.0-10.0","530","{""Q0"":""2"",""Q1"":""5"",""Q2"":""1""}"
"44217","","survey-likert","11","553844","0.0-11.0","530","{""Q0"":""1"",""Q1"":""1"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""1"",""Q7"":""1"",""Q8"":""0""}"
"12834","","survey-text","12","567684","0.0-12.0","530","{""Q0"":""18"",""Q1"":""MALE""}"
"7135","","survey-likert","13","575823","0.0-13.0","530","{""Q0"":""1""}"
"8035","","survey-text","14","584862","0.0-14.0","530","{""Q0"":""NA""}"
"19339","32","text","15","605202","0.0-15.0","530",""
