"","subjectNo","symErrorTotal","symAccErrorTotal","symSpeedErorTotal","symSspanscore","symSspanTotal","symSspanPartialScore","symSspanPartialScoreBlock1","symSspanPartialScoreBlock2","symSspanPartialScoreBlock3","symSspanAbsoluteScore","symSymmetryCorrect"
"104",532,0,0,0,NA,NA,22,6,9,7,11,48
"105",533,1,1,0,NA,NA,38,14,12,12,36,47
"106",534,0,0,0,NA,NA,39,11,14,14,33,47
"107",535,1,1,0,NA,NA,21,8,5,8,13,47
"108",536,3,2,1,NA,NA,35,12,13,10,28,45
"109",537,10,10,0,NA,NA,15,6,3,6,0,35
"110",538,2,1,1,NA,NA,28,11,10,7,22,45
"111",539,3,2,1,NA,NA,37,13,13,11,24,45
"112",540,2,2,0,NA,NA,40,12,14,14,37,46
"113",541,6,3,3,NA,NA,37,14,11,12,30,41
"114",542,3,1,2,NA,NA,39,14,13,12,28,45
"115",543,0,0,0,NA,NA,26,8,12,6,13,47
"116",544,6,5,1,NA,NA,25,11,7,7,16,41
"117",545,2,1,1,NA,NA,39,12,13,14,30,46
"118",546,17,17,0,NA,NA,7,3,3,1,0,31
"119",547,1,1,0,NA,NA,32,13,10,9,24,47
"120",548,2,1,1,NA,NA,26,8,13,5,16,46
"121",549,2,0,2,NA,NA,33,11,12,10,27,46
"122",550,1,1,0,NA,NA,31,6,14,11,25,46
"123",551,4,1,3,NA,NA,34,12,11,11,23,44
"124",552,3,1,2,NA,NA,34,13,9,12,27,45
"125",553,0,0,0,NA,NA,33,7,12,14,25,48
"126",554,1,0,1,NA,NA,36,13,13,10,28,47
"127",555,0,0,0,NA,NA,28,11,7,10,24,48
"128",556,5,4,1,NA,NA,25,9,6,10,9,43
"129",700,0,0,0,NA,NA,39,12,13,14,34,48
"130",701,1,1,0,NA,NA,34,11,13,10,24,46
"131",702,0,0,0,NA,NA,36,13,11,12,27,47
"132",703,2,0,2,NA,NA,36,12,11,13,26,44
"133",704,1,1,0,NA,NA,28,8,9,11,20,47
"134",705,4,4,0,NA,NA,39,14,11,14,35,44
"135",706,0,0,0,NA,NA,31,10,12,9,19,48
"136",707,1,1,0,NA,NA,35,14,12,9,32,47
"137",708,4,3,1,NA,NA,27,6,12,9,15,43
"138",709,2,2,0,NA,NA,36,13,11,12,27,46
"139",710,3,3,0,NA,NA,26,9,11,6,17,40
"140",711,4,3,1,NA,NA,21,7,9,5,7,44
"141",712,6,4,2,NA,NA,11,4,4,3,0,42
"142",713,5,1,4,NA,NA,28,9,7,12,16,43
"143",714,3,3,0,NA,NA,42,14,14,14,42,45
"144",715,1,1,0,NA,NA,37,13,11,13,31,47
"145",716,2,2,0,NA,NA,33,14,9,10,25,45
"146",717,5,4,1,NA,NA,28,9,10,9,21,43
"147",718,2,0,2,NA,NA,30,10,7,13,20,46
"148",719,2,1,1,NA,NA,39,11,14,14,38,46
"149",720,0,0,0,NA,NA,38,10,14,14,33,48
"150",721,16,10,6,NA,NA,11,5,2,4,2,31
"151",722,1,1,0,NA,NA,39,11,14,14,37,47
"152",723,2,0,2,NA,NA,32,9,13,10,18,46
"153",724,3,3,0,NA,NA,32,13,12,7,22,45
"154",725,3,2,1,NA,NA,38,13,13,12,29,44
"155",726,0,0,0,NA,NA,22,6,6,10,13,48
"156",727,3,2,1,NA,NA,23,10,8,5,15,45
"157",728,2,2,0,NA,NA,26,7,7,12,15,46
"158",729,1,1,0,NA,NA,40,14,12,14,38,47
"159",730,7,7,0,NA,NA,28,7,10,11,20,37
