subject,toneaccError,toneMathError,ToneAbsolute,TonePartial,TonePartialB1,TonePartialB2,TonePartialB3,ToneSpeedErr,OspanAccError,OspanMathError,MeanOspanAbsoluteScore,MeanOspanPartialScore,MeanOspanPartialScoreBlock1,MeanOspanPartialScoreBlock2,MeanOspanPartialScoreBlock3,OspanSpeedError,symmAccError,SymmSpeedError,MeanSspanAbsoluteScore,MeanSspanPartialScore,MeanSspanPartialScoreBlock1,MeanSspanPartialScoreBlock2,MeanSspanPartialScoreBlock3,MeanSymmErrorTotal,NumberAttempted,NumberTotalScore,NumberTotalTime,,,RavensBlock1,RavensBlock2,RavensBlock3,Ravens Block4,,BeatPerception,,MelodicMemory
537,6,7,32,50,19,16,15,1,1,1,34,52,21,15,16,0,10,0,0,15,6,3,6,10,11,5,5,537,537,9,7,6,22,537,12,537,11
538,4,5,17,52,14,19,19,1,8,22,21,45,18,16,11,14,1,1,22,28,11,10,7,2,15,4,3,538,538,7,6,7,20,538,15,538,7
539,7,10,57,66,17,24,25,3,4,4,64,72,25,24,23,0,2,1,24,37,13,13,11,3,15,6,1,539,539,7,6,5,18,539,10,539,9
540,2,3,48,67,21,23,23,1,5,6,33,49,21,16,12,1,2,0,37,40,12,14,14,2,15,10,3,540,540,8,7,5,20,540,15,540,6
541,0,1,31,57,19,19,19,1,1,1,69,73,25,23,25,0,3,3,30,37,14,11,12,6,15,8,3,541,541,7,9,7,23,541,12,541,7
542,3,4,68,74,24,25,25,1,1,1,63,71,21,25,25,0,1,2,28,39,14,13,12,3,15,11,5,542,542,9,6,8,23,542,16,542,11
543,3,6,7,30,10,11,9,3,5,5,42,67,21,22,24,0,0,0,13,26,8,12,6,0,15,11,5,543,543,9,8,7,24,543,10,543,10
544,1,1,30,52,14,21,17,0,4,6,55,67,19,23,25,2,5,1,16,25,11,7,7,6,10,8,5,544,544,8,7,9,24,544,13,544,9
545,7,8,51,65,23,21,21,1,5,6,57,70,25,22,23,1,1,1,30,39,12,13,14,2,10,8,5,545,545,10,10,11,31,545,11,545,7
546,4,6,4,24,10,7,7,2,5,6,22,37,15,18,4,1,17,0,0,7,3,3,1,17,15,9,4,546,546,9,8,4,21,546,8,546,9
547,11,13,21,43,16,8,19,2,6,10,8,16,5,10,1,4,1,0,24,32,13,10,9,1,15,11,4,547,547,9,8,6,23,547,14,547,7
548,8,9,51,61,19,17,25,1,6,8,31,53,19,14,20,2,1,1,16,26,8,13,5,2,15,6,5,548,548,10,8,5,23,548,15,548,10
549,7,8,61,72,24,25,23,1,1,2,75,75,25,25,25,1,0,2,27,33,11,12,10,2,15,13,4,549,549,11,9,9,29,549,14,549,11
550,3,4,64,70,20,25,25,1,3,5,47,68,23,22,23,2,1,0,25,31,6,14,11,1,15,9,5,550,550,10,10,10,30,550,16,550,7
551,1,1,68,74,25,24,25,0,3,3,68,74,24,25,25,0,1,3,23,34,12,11,11,4,14,11,5,551,551,12,10,12,34,551,13,551,6
552,1,2,61,71,25,24,22,1,3,5,68,73,25,25,23,2,1,2,27,34,13,9,12,3,13,11,5,552,552,9,9,9,27,552,16,552,13
553,1,3,34,55,17,18,20,2,1,6,68,74,25,25,24,5,0,0,25,33,7,12,14,0,13,8,5,553,553,8,7,8,23,553,13,553,8
554,0,0,56,64,19,20,25,0,1,1,39,61,21,21,19,0,0,1,28,36,13,13,10,1,15,13,5,554,554,10,8,10,28,554,15,554,9
555,4,4,33,59,19,21,19,0,6,9,34,51,23,14,14,3,0,0,24,28,11,7,10,0,13,9,5,555,555,8,9,10,27,555,10,555,8
556,7,10,15,43,11,13,19,3, , , , , , , , ,4,1,9,25,9,6,10,5, , , ,556,,,,,,556,,556,
700,3,4,50,65,20,25,20,1,1,2,46,64,23,19,22,1,0,0,34,39,12,13,14,0,15,14,5,700,700,11,10,11,32,700,16,700,9
701,3,5,50,66,22,19,25,2,2,6,68,73,23,25,25,4,1,0,24,34,11,13,10,1,14,10,5,701,701,8,7,8,23,701,15,701,11
702,5,5,56,66,22,22,22,0,0,3,63,68,21,22,25,3,0,0,27,36,13,11,12,0,15,11,5,702,702,9,4,7,20,702,9,702,8
703,7,10,61,69,22,22,25,3,4,5,55,69,21,23,25,1,0,2,26,36,12,11,13,2,15,12,5,703,703,8,10,11,29,703,14,703,11
704,5,5,46,63,19,25,19,0,5,6,15,46,8,16,22,1,1,0,20,28,8,9,11,1,10,7,5,704,704,10,9,11,30,704,13,704,8
705,7,10,39,53,17,16,20,3,2,4,26,57,17,17,23,2,4,0,35,39,14,11,14,4,14,10,5,705,705,8,8,9,25,705,10,705,10
706,4,5,51,63,17,22,24,1,3,7,26,42,7,19,16,4,0,0,19,31,10,12,9,0,15,10,3,706,706,8,8,7,23,706,15,706,7
707,2,3,45,62,18,21,23,1,5,5,56,71,23,25,23,0,1,0,32,35,14,12,9,1,14,8,5,707,707,9,10,7,26,707,13,707,10
708,8,9,23,50,15,17,18,1,8,10,42,58,22,18,18,2,3,1,15,27,6,12,9,4,13,11,5,708,708,9,7,10,26,708,15,708,10
709,3,4,50,61,25,21,15,1,2,7,63,67,25,18,24,5,2,0,27,36,13,11,12,2,14,11,5,709,709,10,7,9,26,709,14,709,10
710,5,7,4,35,12,14,9,2,3,6,58,72,24,25,23,3,3,0,17,26,9,11,6,3,12,8,5,710,710,7,10,7,24,710,14,710,7
711,4,4,29,49,13,16,20,0,8,8,45,58,18,20,20,0,3,1,7,21,7,9,5,4,13,10,5,711,711,9,11,12,32,711,9,711,7
712,4,8,30,57,17,16,24,4,4,8,3,21,11,5,5,4,4,2,0,11,4,4,3,6,13,9,5,712,712,10,10,6,26,712,9,712,10
713,4,4,40,59,15,19,25,0,1,2,63,68,25,19,24,1,1,4,16,28,9,7,12,5,15,7,5,713,713,9,7,9,25,713,11,713,10
714,5,5,50,57,13,23,21,0,5,8,33,59,20,22,17,3,3,0,42,42,14,14,14,3,15,12,4,714,714,9,9,9,27,714,11,714,10
715,5,5,75,75,25,25,25,0,2,7,44,65,19,24,22,5,1,0,31,37,13,11,13,1,15,10,5,715,715,8,8,10,26,715,15,715,9
716,3,5,54,66,24,21,21,2,6,11,45,57,15,24,18,5,2,0,25,33,14,9,10,2,11,7,5,716,716,6,8,10,24,716,15,716,11
717,4,5,49,61,25,18,18,1,0,2,37,61,16,24,21,2,4,1,21,28,9,10,9,5,14,8,5,717,717,7,8,9,24,717,12,717,8
718,2,4,38,55,19,19,17,2,8,9,25,47,12,17,18,1,0,2,20,30,10,7,13,2,11,9,5,718,718,12,9,11,32,718,15,718,10
719,3,3,50,68,21,22,25,0,2,5,52,64,21,22,21,3,1,1,38,39,11,14,14,2,15,13,5,719,719,10,10,10,30,719,15,719,5
720,2,5,37,63,20,21,22,3,2,2,75,75,25,25,25,0,0,0,33,38,10,14,14,0,13,10,5,720,720,10,11,11,32,720,15,720,11
721,4,6,41,60,19,20,21,2,2,3,75,75,25,25,25,1,10,6,2,11,5,2,4,16,15,8,3,721,721,4,6,7,17,721,6,721,10
722,6,9,61,69,22,22,25,3,2,2,69,73,23,25,25,0,1,0,37,39,11,14,14,1,15,14,5,722,722,11,10,12,33,722,16,722,11
723,4,6,47,61,16,20,25,2,7,17,29,38,15,19,4,10,0,2,18,32,9,13,10,2,11,8,5,723,723,10,10,10,30,723,13,723,10
724,5,6,43,62,20,23,19,1,4,4,42,61,21,20,20,0,3,0,22,32,13,12,7,3,15,8,5,724,724,10,10,8,28,724,16,724,10
725,1,4,62,67,22,25,20,3,2,5,55,66,19,25,22,3,2,1,29,38,13,13,12,3,12,10,5,725,725,10,10,9,29,725,16,725,10
726,3,3,33,58,16,20,22,0,4,6,37,58,20,18,20,2,0,0,13,22,6,6,10,0,11,7,5,726,726,7,8,5,20,726,14,726,7
727,4,6,58,69,22,22,25,2,8,10,7,38,16,8,14,2,2,1,15,23,10,8,5,3,14,11,5,727,727,10,9,8,27,727,9,727,12
728,2,3,50,63,17,21,25,1,2,2,61,72,23,24,25,0,2,0,15,26,7,7,12,2,11,9,5,728,728,10,8,8,26,728,16,728,8
