Strategy,Counts,Source
Rehearsal,21,Musical
Explicit Musical Word,13,Musical
,66,Musical
Ordinal,7,Musical
Sensory-Motor,15,Musical
Metaphor,8,Musical
Auditory Image,2,Musical
