"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"3992","32","text","0","3995","0.0-0.0","927",""
"15005","32","text","1","20002","0.0-1.0","927",""
"9990","32","text","2","30993","0.0-2.0","927",""
"61983","","survey-likert","3","94076","0.0-3.0","927","{""Q0"":""1"",""Q1"":""3"",""Q2"":""0"",""Q3"":""1"",""Q4"":""3"",""Q5"":""5"",""Q6"":""5"",""Q7"":""3"",""Q8"":""2"",""Q9"":""1""}"
"56610","","survey-likert","4","151690","0.0-4.0","927","{""Q0"":""5"",""Q1"":""3"",""Q2"":""1"",""Q3"":""5"",""Q4"":""3"",""Q5"":""5"",""Q6"":""3"",""Q7"":""4"",""Q8"":""1"",""Q9"":""5""}"
"61335","","survey-likert","5","214042","0.0-5.0","927","{""Q0"":""5"",""Q1"":""5"",""Q2"":""4"",""Q3"":""4"",""Q4"":""3"",""Q5"":""4"",""Q6"":""6"",""Q7"":""6"",""Q8"":""3"",""Q9"":""1"",""Q10"":""6""}"
"37218","","survey-likert","6","252272","0.0-6.0","927","{""Q0"":""0"",""Q1"":""0"",""Q2"":""3"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""4""}"
"20577","","survey-text","7","274203","0.0-7.0","927","{""Q0"":""voice\nvoice""}"
"8045","32","text","8","283249","0.0-8.0","927",""
"37931","","survey-likert","9","322204","0.0-9.0","927","{""Q0"":""1"",""Q1"":""3"",""Q2"":""5"",""Q3"":""3"",""Q4"":""3"",""Q5"":""6"",""Q6"":""3"",""Q7"":""4"",""Q8"":""3"",""Q9"":""3"",""Q10"":""3"",""Q11"":""5"",""Q12"":""1"",""Q13"":""3""}"
"38187","","survey-likert","10","361393","0.0-10.0","927","{""Q0"":""8"",""Q1"":""7"",""Q2"":""5""}"
"28872","","survey-likert","11","391272","0.0-11.0","927","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"16845","","survey-text","12","409123","0.0-12.0","927","{""Q0"":""18"",""Q1"":""FEMALE""}"
"6611","","survey-likert","13","416737","0.0-13.0","927","{""Q0"":""1""}"
"3399","","survey-text","14","421138","0.0-14.0","927","{""Q0"":""""}"
"25185","32","text","15","447324","0.0-15.0","927",""
