"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"1366","32","text","0","1370","0.0-0.0","1039",""
"2388720","32","text","1","2391094","0.0-1.0","1039",""
"10187","32","text","2","2402283","0.0-2.0","1039",""
"50893","","survey-likert","3","2454198","0.0-3.0","1039","{""Q0"":""4"",""Q1"":""4"",""Q2"":""1"",""Q3"":""1"",""Q4"":""5"",""Q5"":""5"",""Q6"":""4"",""Q7"":""4"",""Q8"":""1"",""Q9"":""2""}"
"60844","","survey-likert","4","2516057","0.0-4.0","1039","{""Q0"":""1"",""Q1"":""2"",""Q2"":""2"",""Q3"":""1"",""Q4"":""1"",""Q5"":""6"",""Q6"":""2"",""Q7"":""5"",""Q8"":""2"",""Q9"":""5""}"
"48150","","survey-likert","5","2565225","0.0-5.0","1039","{""Q0"":""5"",""Q1"":""5"",""Q2"":""2"",""Q3"":""4"",""Q4"":""5"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""2"",""Q9"":""2"",""Q10"":""6""}"
"51609","","survey-likert","6","2617847","0.0-6.0","1039","{""Q0"":""4"",""Q1"":""2"",""Q2"":""3"",""Q3"":""0"",""Q4"":""5"",""Q5"":""0"",""Q6"":""3""}"
"12023","","survey-text","7","2630882","0.0-7.0","1039","{""Q0"":""voice\nvoice""}"
"3855","32","text","8","2635737","0.0-8.0","1039",""
"62593","","survey-likert","9","2699357","0.0-9.0","1039","{""Q0"":""4"",""Q1"":""2"",""Q2"":""6"",""Q3"":""4"",""Q4"":""0"",""Q5"":""6"",""Q6"":""2"",""Q7"":""5"",""Q8"":""5"",""Q9"":""2"",""Q10"":""6"",""Q11"":""6"",""Q12"":""0"",""Q13"":""2""}"
"36650","","survey-likert","10","2737014","0.0-10.0","1039","{""Q0"":""4"",""Q1"":""7"",""Q2"":""5""}"
"35885","","survey-likert","11","2773912","0.0-11.0","1039","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""1"",""Q7"":""2"",""Q8"":""1""}"
"8821","","survey-text","12","2783739","0.0-12.0","1039","{""Q0"":""19"",""Q1"":""FEMALE""}"
"4004","","survey-likert","13","2788746","0.0-13.0","1039","{""Q0"":""1""}"
"5812","","survey-text","14","2795562","0.0-14.0","1039","{""Q0"":""N/A""}"
"6230","32","text","15","2802794","0.0-15.0","1039",""
