"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"1406","32","text","0","1410","0.0-0.0","1312",""
"167","32","text","1","2584","0.0-1.0","1312",""
"682","32","text","2","4279","0.0-2.0","1312",""
"270010","","survey-likert","3","275316","0.0-3.0","1312","{""Q0"":""6"",""Q1"":""6"",""Q2"":""4"",""Q3"":""5"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6"",""Q7"":""6"",""Q8"":""0"",""Q9"":""6""}"
"93113","","survey-likert","4","369444","0.0-4.0","1312","{""Q0"":""1"",""Q1"":""6"",""Q2"":""0"",""Q3"":""6"",""Q4"":""6"",""Q5"":""6"",""Q6"":""0"",""Q7"":""6"",""Q8"":""6"",""Q9"":""6""}"
"77273","","survey-likert","5","447734","0.0-5.0","1312","{""Q0"":""0"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""0"",""Q5"":""5"",""Q6"":""0"",""Q7"":""5"",""Q8"":""4"",""Q9"":""2"",""Q10"":""6""}"
"73413","","survey-likert","6","522158","0.0-6.0","1312","{""Q0"":""5"",""Q1"":""3"",""Q2"":""6"",""Q3"":""5"",""Q4"":""5"",""Q5"":""1"",""Q6"":""4""}"
"15306","","survey-text","7","538476","0.0-7.0","1312","{""Q0"":""Voice""}"
"6604","32","text","8","546085","0.0-8.0","1312",""
"38044","","survey-likert","9","585151","0.0-9.0","1312","{""Q0"":""6"",""Q1"":""5"",""Q2"":""6"",""Q3"":""5"",""Q4"":""5"",""Q5"":""4"",""Q6"":""4"",""Q7"":""3"",""Q8"":""6"",""Q9"":""4"",""Q10"":""5"",""Q11"":""5"",""Q12"":""4"",""Q13"":""2""}"
"21807","","survey-likert","10","607966","0.0-10.0","1312","{""Q0"":""3"",""Q1"":""5"",""Q2"":""5""}"
"92523","","survey-likert","11","701504","0.0-11.0","1312","{""Q0"":""1"",""Q1"":""4"",""Q2"":""3"",""Q3"":""1"",""Q4"":""4"",""Q5"":""3"",""Q6"":""2"",""Q7"":""3"",""Q8"":""4""}"
"13652","","survey-text","12","716161","0.0-12.0","1312","{""Q0"":""19"",""Q1"":""FEMALE""}"
"4147","","survey-likert","13","721320","0.0-13.0","1312","{""Q0"":""1""}"
"2456","","survey-text","14","724784","0.0-14.0","1312","{""Q0"":""""}"
"9145","32","text","15","734936","0.0-15.0","1312",""
