"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"1381","32","text","0","1386","0.0-0.0","1050",""
"145251","76","text","1","147646","0.0-1.0","1050",""
"11404","76","text","2","160052","0.0-2.0","1050",""
"80470","","survey-likert","3","241544","0.0-3.0","1050","{""Q0"":""6"",""Q1"":""4"",""Q2"":""4"",""Q3"":""4"",""Q4"":""6"",""Q5"":""4"",""Q6"":""5"",""Q7"":""5"",""Q8"":""0"",""Q9"":""6""}"
"122508","","survey-likert","4","365067","0.0-4.0","1050","{""Q0"":""3"",""Q1"":""6"",""Q2"":""2"",""Q3"":""0"",""Q4"":""6"",""Q5"":""6"",""Q6"":""0"",""Q7"":""5"",""Q8"":""4"",""Q9"":""6""}"
"94192","","survey-likert","5","460277","0.0-5.0","1050","{""Q0"":""4"",""Q1"":""6"",""Q2"":""0"",""Q3"":""6"",""Q4"":""1"",""Q5"":""1"",""Q6"":""5"",""Q7"":""5"",""Q8"":""5"",""Q9"":""1"",""Q10"":""6""}"
"84472","","survey-likert","6","545761","0.0-6.0","1050","{""Q0"":""3"",""Q1"":""2"",""Q2"":""4"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""5""}"
"9023","","survey-text","7","555795","0.0-7.0","1050","{""Q0"":""voice""}"
"7254","72","text","8","564051","0.0-8.0","1050",""
"47126","","survey-likert","9","612198","0.0-9.0","1050","{""Q0"":""4"",""Q1"":""4"",""Q2"":""5"",""Q3"":""5"",""Q4"":""6"",""Q5"":""5"",""Q6"":""5"",""Q7"":""6"",""Q8"":""5"",""Q9"":""4"",""Q10"":""4"",""Q11"":""6"",""Q12"":""2"",""Q13"":""6""}"
"38889","","survey-likert","10","652096","0.0-10.0","1050","{""Q0"":""4"",""Q1"":""5"",""Q2"":""5""}"
"38538","","survey-likert","11","691650","0.0-11.0","1050","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"22343","","survey-text","12","714998","0.0-12.0","1050","{""Q0"":""20"",""Q1"":""FEMALE""}"
"6347","","survey-likert","13","722349","0.0-13.0","1050","{""Q0"":""1""}"
"3516","","survey-text","14","726869","0.0-14.0","1050","{""Q0"":""""}"
"27062","32","text","15","754932","0.0-15.0","1050",""
