"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"3472","32","text","0","3475","0.0-0.0","926",""
"18641","74","text","1","23147","0.0-1.0","926",""
"6510","32","text","2","30659","0.0-2.0","926",""
"40656","","survey-likert","3","72465","0.0-3.0","926","{""Q0"":""5"",""Q1"":""5"",""Q2"":""2"",""Q3"":""3"",""Q4"":""5"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""2"",""Q9"":""5""}"
"61252","","survey-likert","4","134731","0.0-4.0","926","{""Q0"":""3"",""Q1"":""4"",""Q2"":""3"",""Q3"":""2"",""Q4"":""5"",""Q5"":""4"",""Q6"":""1"",""Q7"":""5"",""Q8"":""3"",""Q9"":""3""}"
"60329","","survey-likert","5","196076","0.0-5.0","926","{""Q0"":""4"",""Q1"":""5"",""Q2"":""3"",""Q3"":""6"",""Q4"":""3"",""Q5"":""5"",""Q6"":""2"",""Q7"":""6"",""Q8"":""3"",""Q9"":""1"",""Q10"":""5""}"
"57569","","survey-likert","6","254657","0.0-6.0","926","{""Q0"":""1"",""Q1"":""4"",""Q2"":""4"",""Q3"":""4"",""Q4"":""4"",""Q5"":""2"",""Q6"":""6""}"
"14583","","survey-text","7","270251","0.0-7.0","926","{""Q0"":""drums""}"
"4423","32","text","8","275676","0.0-8.0","926",""
"49429","","survey-likert","9","326127","0.0-9.0","926","{""Q0"":""1"",""Q1"":""4"",""Q2"":""0"",""Q3"":""6"",""Q4"":""1"",""Q5"":""5"",""Q6"":""4"",""Q7"":""0"",""Q8"":""6"",""Q9"":""3"",""Q10"":""6"",""Q11"":""1"",""Q12"":""4"",""Q13"":""4""}"
"37720","","survey-likert","10","364854","0.0-10.0","926","{""Q0"":""8"",""Q1"":""7"",""Q2"":""7""}"
"38902","","survey-likert","11","404770","0.0-11.0","926","{""Q0"":""2"",""Q1"":""1"",""Q2"":""1"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"15253","","survey-text","12","421029","0.0-12.0","926","{""Q0"":""20"",""Q1"":""MALE""}"
"4563","","survey-likert","13","426596","0.0-13.0","926","{""Q0"":""0""}"
"18566","","survey-text","14","446165","0.0-14.0","926","{""Q0"":""Vyvanse, Intuniv""}"
"11054","32","text","15","458220","0.0-15.0","926",""
