"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"3142","32","text","0","3145","0.0-0.0","903",""
"9202","32","text","1","13351","0.0-1.0","903",""
"5318","32","text","2","19671","0.0-2.0","903",""
"60503","","survey-likert","3","81195","0.0-3.0","903","{""Q0"":""1"",""Q1"":""3"",""Q2"":""0"",""Q3"":""1"",""Q4"":""4"",""Q5"":""5"",""Q6"":""1"",""Q7"":""3"",""Q8"":""3"",""Q9"":""5""}"
"65699","","survey-likert","4","147911","0.0-4.0","903","{""Q0"":""5"",""Q1"":""2"",""Q2"":""2"",""Q3"":""3"",""Q4"":""2"",""Q5"":""6"",""Q6"":""2"",""Q7"":""5"",""Q8"":""2"",""Q9"":""2""}"
"43831","","survey-likert","5","192760","0.0-5.0","903","{""Q0"":""6"",""Q1"":""4"",""Q2"":""2"",""Q3"":""3"",""Q4"":""3"",""Q5"":""5"",""Q6"":""3"",""Q7"":""3"",""Q8"":""4"",""Q9"":""2"",""Q10"":""5""}"
"67321","","survey-likert","6","261093","0.0-6.0","903","{""Q0"":""5"",""Q1"":""2"",""Q2"":""4"",""Q3"":""3"",""Q4"":""5"",""Q5"":""1"",""Q6"":""2""}"
"9830","","survey-text","7","271934","0.0-7.0","903","{""Q0"":""voice""}"
"5657","32","text","8","278592","0.0-8.0","903",""
"32158","","survey-likert","9","311771","0.0-9.0","903","{""Q0"":""4"",""Q1"":""2"",""Q2"":""3"",""Q3"":""4"",""Q4"":""4"",""Q5"":""5"",""Q6"":""1"",""Q7"":""5"",""Q8"":""2"",""Q9"":""2"",""Q10"":""4"",""Q11"":""6"",""Q12"":""2"",""Q13"":""2""}"
"15406","","survey-likert","10","328187","0.0-10.0","903","{""Q0"":""2"",""Q1"":""3"",""Q2"":""3""}"
"36142","","survey-likert","11","365343","0.0-11.0","903","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"7622","","survey-text","12","373969","0.0-12.0","903","{""Q0"":""20"",""Q1"":""MALE""}"
"3404","","survey-likert","13","378377","0.0-13.0","903","{""Q0"":""1""}"
"3397","","survey-text","14","382777","0.0-14.0","903","{""Q0"":""""}"
"7253","32","text","15","391032","0.0-15.0","903",""
