"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"3586","32","text","0","3589","0.0-0.0","723",""
"9515","32","text","1","14107","0.0-1.0","723",""
"11390","32","text","2","26498","0.0-2.0","723",""
"56586","","survey-likert","3","84101","0.0-3.0","723","{""Q0"":""6"",""Q1"":""6"",""Q2"":""3"",""Q3"":""5"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6"",""Q7"":""6"",""Q8"":""1"",""Q9"":""5""}"
"65333","","survey-likert","4","150451","0.0-4.0","723","{""Q0"":""4"",""Q1"":""6"",""Q2"":""1"",""Q3"":""1"",""Q4"":""5"",""Q5"":""6"",""Q6"":""6"",""Q7"":""6"",""Q8"":""3"",""Q9"":""5""}"
"67528","","survey-likert","5","218996","0.0-5.0","723","{""Q0"":""2"",""Q1"":""6"",""Q2"":""1"",""Q3"":""6"",""Q4"":""5"",""Q5"":""4"",""Q6"":""0"",""Q7"":""6"",""Q8"":""6"",""Q9"":""5"",""Q10"":""6""}"
"108997","","survey-likert","6","329006","0.0-6.0","723","{""Q0"":""6"",""Q1"":""5"",""Q2"":""5"",""Q3"":""4"",""Q4"":""6"",""Q5"":""6"",""Q6"":""3""}"
"11735","","survey-text","7","341753","0.0-7.0","723","{""Q0"":""clarinet""}"
"9054","32","text","8","351809","0.0-8.0","723",""
"84074","","survey-likert","9","436909","0.0-9.0","723","{""Q0"":""5"",""Q1"":""4"",""Q2"":""3"",""Q3"":""5"",""Q4"":""3"",""Q5"":""5"",""Q6"":""3"",""Q7"":""3"",""Q8"":""5"",""Q9"":""4"",""Q10"":""6"",""Q11"":""2"",""Q12"":""3"",""Q13"":""6""}"
"33774","","survey-likert","10","471692","0.0-10.0","723","{""Q0"":""5"",""Q1"":""4"",""Q2"":""4""}"
"53996","","survey-likert","11","526703","0.0-11.0","723","{""Q0"":""1"",""Q1"":""3"",""Q2"":""3"",""Q3"":""1"",""Q4"":""3"",""Q5"":""3"",""Q6"":""1"",""Q7"":""3"",""Q8"":""3""}"
"16310","","survey-text","12","544017","0.0-12.0","723","{""Q0"":""21"",""Q1"":""FEMALE""}"
"8723","","survey-likert","13","553744","0.0-13.0","723","{""Q0"":""0""}"
"26014","","survey-text","14","580761","0.0-14.0","723","{""Q0"":""wellbutrin & vyvanse""}"
"12383","32","text","15","594145","0.0-15.0","723",""
