"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"1263","32","text","0","1266","0.0-0.0","920",""
"105","32","text","1","2374","0.0-1.0","920",""
"246","32","text","2","3623","0.0-2.0","920",""
"64886","","survey-likert","3","69531","0.0-3.0","920","{""Q0"":""4"",""Q1"":""5"",""Q2"":""0"",""Q3"":""2"",""Q4"":""5"",""Q5"":""5"",""Q6"":""4"",""Q7"":""5"",""Q8"":""2"",""Q9"":""1""}"
"94004","","survey-likert","4","164551","0.0-4.0","920","{""Q0"":""4"",""Q1"":""2"",""Q2"":""1"",""Q3"":""1"",""Q4"":""3"",""Q5"":""5"",""Q6"":""2"",""Q7"":""5"",""Q8"":""3"",""Q9"":""4""}"
"66024","","survey-likert","5","231591","0.0-5.0","920","{""Q0"":""5"",""Q1"":""5"",""Q2"":""4"",""Q3"":""4"",""Q4"":""6"",""Q5"":""4"",""Q6"":""6"",""Q7"":""5"",""Q8"":""5"",""Q9"":""2"",""Q10"":""5""}"
"54849","","survey-likert","6","287453","0.0-6.0","920","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""4"",""Q5"":""0"",""Q6"":""2""}"
"40712","","survey-text","7","329175","0.0-7.0","920","{""Q0"":""voice""}"
"11399","32","text","8","341575","0.0-8.0","920",""
"44640","","survey-likert","9","387243","0.0-9.0","920","{""Q0"":""4"",""Q1"":""3"",""Q2"":""0"",""Q3"":""5"",""Q4"":""4"",""Q5"":""1"",""Q6"":""3"",""Q7"":""0"",""Q8"":""5"",""Q9"":""3"",""Q10"":""6"",""Q11"":""6"",""Q12"":""4"",""Q13"":""6""}"
"27072","","survey-likert","10","415322","0.0-10.0","920","{""Q0"":""3"",""Q1"":""6"",""Q2"":""7""}"
"39806","","survey-likert","11","456142","0.0-11.0","920","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"10055","","survey-text","12","467199","0.0-12.0","920","{""Q0"":""23"",""Q1"":""Female""}"
"7327","","survey-likert","13","475528","0.0-13.0","920","{""Q0"":""0""}"
"27595","","survey-text","14","504127","0.0-14.0","920","{""Q0"":""Lithium, Adderal, Ziprasidone""}"
"5829","32","text","15","510957","0.0-15.0","920",""
