"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"939","32","text","0","942","0.0-0.0","727",""
"84","32","text","1","2032","0.0-1.0","727",""
"334","32","text","2","3375","0.0-2.0","727",""
"54581","","survey-likert","3","58988","0.0-3.0","727","{""Q0"":""6"",""Q1"":""5"",""Q2"":""3"",""Q3"":""4"",""Q4"":""5"",""Q5"":""5"",""Q6"":""6"",""Q7"":""5"",""Q8"":""1"",""Q9"":""6""}"
"71403","","survey-likert","4","131408","0.0-4.0","727","{""Q0"":""1"",""Q1"":""4"",""Q2"":""1"",""Q3"":""0"",""Q4"":""6"",""Q5"":""6"",""Q6"":""1"",""Q7"":""5"",""Q8"":""4"",""Q9"":""5""}"
"66767","","survey-likert","5","199193","0.0-5.0","727","{""Q0"":""1"",""Q1"":""5"",""Q2"":""1"",""Q3"":""6"",""Q4"":""0"",""Q5"":""5"",""Q6"":""0"",""Q7"":""5"",""Q8"":""4"",""Q9"":""1"",""Q10"":""5""}"
"89286","","survey-likert","6","289488","0.0-6.0","727","{""Q0"":""5"",""Q1"":""4"",""Q2"":""6"",""Q3"":""3"",""Q4"":""6"",""Q5"":""2"",""Q6"":""5""}"
"6539","","survey-text","7","297040","0.0-7.0","727","{""Q0"":""Voice""}"
"5903","32","text","8","303944","0.0-8.0","727",""
"51176","","survey-likert","9","356148","0.0-9.0","727","{""Q0"":""5"",""Q1"":""4"",""Q2"":""4"",""Q3"":""4"",""Q4"":""4"",""Q5"":""3"",""Q6"":""3"",""Q7"":""5"",""Q8"":""4"",""Q9"":""4"",""Q10"":""4"",""Q11"":""4"",""Q12"":""0"",""Q13"":""4""}"
"29462","","survey-likert","10","386616","0.0-10.0","727","{""Q0"":""4"",""Q1"":""5"",""Q2"":""7""}"
"57940","","survey-likert","11","445569","0.0-11.0","727","{""Q0"":""1"",""Q1"":""3"",""Q2"":""0"",""Q3"":""1"",""Q4"":""3"",""Q5"":""0"",""Q6"":""1"",""Q7"":""3"",""Q8"":""0""}"
"10155","","survey-text","12","456729","0.0-12.0","727","{""Q0"":""19"",""Q1"":""FEMALE""}"
"6124","","survey-likert","13","463857","0.0-13.0","727","{""Q0"":""1""}"
"2724","","survey-text","14","467584","0.0-14.0","727","{""Q0"":""""}"
"296607","32","text","15","765194","0.0-15.0","727",""
