"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","responses"
"1334","32","text","0","1338","0.0-0.0","964",""
"1712001","66","text","1","1714343","0.0-1.0","964",""
"35494","76","text","2","1750839","0.0-2.0","964",""
"54345","","survey-likert","3","1806197","0.0-3.0","964","{""Q0"":""6"",""Q1"":""3"",""Q2"":""1"",""Q3"":""3"",""Q4"":""3"",""Q5"":""4"",""Q6"":""5"",""Q7"":""3"",""Q8"":""2"",""Q9"":""2""}"
"48835","","survey-likert","4","1856048","0.0-4.0","964","{""Q0"":""3"",""Q1"":""4"",""Q2"":""1"",""Q3"":""1"",""Q4"":""3"",""Q5"":""5"",""Q6"":""3"",""Q7"":""3"",""Q8"":""2"",""Q9"":""5""}"
"44096","","survey-likert","5","1901160","0.0-5.0","964","{""Q0"":""3"",""Q1"":""3"",""Q2"":""3"",""Q3"":""6"",""Q4"":""3"",""Q5"":""5"",""Q6"":""5"",""Q7"":""5"",""Q8"":""5"",""Q9"":""3"",""Q10"":""6""}"
"46655","","survey-likert","6","1948828","0.0-6.0","964","{""Q0"":""5"",""Q1"":""5"",""Q2"":""4"",""Q3"":""0"",""Q4"":""4"",""Q5"":""1"",""Q6"":""6""}"
"20999","","survey-text","7","1970833","0.0-7.0","964","{""Q0"":""singing""}"
"123057","32","text","8","2094893","0.0-8.0","964",""
"49108","","survey-likert","9","2145027","0.0-9.0","964","{""Q0"":""3"",""Q1"":""3"",""Q2"":""5"",""Q3"":""3"",""Q4"":""3"",""Q5"":""3"",""Q6"":""3"",""Q7"":""5"",""Q8"":""3"",""Q9"":""3"",""Q10"":""4"",""Q11"":""4"",""Q12"":""3"",""Q13"":""3""}"
"13833","","survey-likert","10","2159869","0.0-10.0","964","{""Q0"":""6"",""Q1"":""1"",""Q2"":""4""}"
"24452","","survey-likert","11","2185334","0.0-11.0","964","{""Q0"":""0"",""Q1"":""0"",""Q2"":""0"",""Q3"":""0"",""Q4"":""0"",""Q5"":""0"",""Q6"":""0"",""Q7"":""0"",""Q8"":""0""}"
"12318","","survey-text","12","2198657","0.0-12.0","964","{""Q0"":""19"",""Q1"":""MALE""}"
"4427","","survey-likert","13","2204089","0.0-13.0","964","{""Q0"":""1""}"
"4332","","survey-text","14","2209424","0.0-14.0","964","{""Q0"":""""}"
"2848","32","text","15","2213272","0.0-15.0","964",""
